word,mean_attr,count
ul,0.00862485341106852,3
exercise,0.008532444946467876,4
inations,0.008268839058776697,3
face,0.007630286893496911,3
bitters,0.007609436909357707,3
forts,0.007420099739517484,7
ious,0.007305134281826516,12
untouched,0.007009261287748814,4
ered,0.006976546098788579,3
leaving,0.0067698037251830104,10
autonomy,0.006482315249741077,3
homes,0.006399676824609439,3
iable,0.006374214465419452,3
appro,0.00625199389954408,3
vol,0.006208640290424228,8
umbered,0.00607703160494566,3
rarely,0.005565113853663206,4
aff,0.00556295985976855,3
sh,0.0052897098163763685,3
but,0.005286501642937462,12
are,0.005067934190654861,56
disillusion,0.004971220623701811,5
emotions,0.004840196956965056,11
ric,0.0046438204467688735,19
bes,0.0042009539902210236,8
were,0.0036941922994123567,9
many,0.0034562450212736926,3
gentle,0.0029356006532907488,5
not,0.0027669198423003155,30
no,0.0025741516146808863,4
s,0.002248039934784174,6
years,0.0020779150848587355,3
at,0.002048225624353758,7
external,0.0014140537008643151,5
comfort,0.0013836099145313103,3
pe,0.0008686461951583624,4
arded,0.0005728513268487794,7
f,0.00023585275953842534,9
into,0.00016739110772808394,6
esteem,-0.0004234157269820571,10
mind,-0.00106845423579216,8
art,-0.0011254943286379178,6
ning,-0.0013432151754386723,8
established,-0.0015217798451582591,3
mis,-0.0020207330817356706,8
while,-0.0022552295898397765,6
lessness,-0.0023183582040170827,3
moral,-0.0025898805697974953,23
deepest,-0.0027594355245431266,3
For,-0.0030740701726504733,7
their,-0.003202513528747424,62
was,-0.0033295026830580067,199
place,-0.003346456214785576,3
discern,-0.0036229712422937155,7
ear,-0.003708358481526375,5
ang,-0.004230715334415436,5
find,-0.004514736716042866,11
they,-0.004727117376975142,13
ical,-0.005316383205354214,3
ainted,-0.005493657779879868,8
b,-0.005537679884582758,4
having,-0.005648738394180934,3
delicate,-0.005909130646614358,16
unrel,-0.006113216863013804,12
have,-0.00625943878872527,9
considerable,-0.0069400726610587705,9
communal,-0.007066468397776286,3
epoch,-0.007072247395461256,22
insidious,-0.007783372886478901,3
angs,-0.008122669865510293,7
Se,-0.008928976511876834,19
enc,-0.009947051759809256,3
ial,-0.010092091591407856,3
Inn,-0.010169943328946829,4
precarious,-0.010621317972739538,3
had,-0.011731341946870089,3
held,-0.011798515915870667,5
breast,-0.012161240292092165,3
acqu,-0.012389083703358969,3
still,-0.012400511962672075,3
ancies,-0.013960144110023975,5
discover,-0.015493539161980152,3
upright,-0.015504830206433931,3
cens,-0.015692743472754955,4
remain,-0.015849119673172634,6
formed,-0.01624264568090439,3
does,-0.016964812082453415,13
found,-0.0174382533878088,8
bring,-0.017796813161112368,4
size,-0.019106514131029446,3
would,-0.01968778733862564,4
unfor,-0.019808207483341295,3
renders,-0.021117076190421358,8
shake,-0.021173415705561638,5
Nevertheless,-0.02194705242291093,5
estimation,-0.022231254260987043,4
ate,-0.023079891223460436,4
abiding,-0.02362293633632362,4
existed,-0.023900260941849813,9
e,-0.024799638893455267,4
left,-0.02516904325845341,6
igated,-0.026691710203886033,5
tendency,-0.02743360276023547,3
dest,-0.0281155143554012,3
never,-0.02818928783138593,3
hear,-0.0282356816654404,3
The,-0.028744493960402906,8
refinement,-0.029400263524924714,3
conflicting,-0.03093524867047866,3
oc,-0.03136921990662813,5
confront,-0.03324945061467588,4
olute,-0.03520367788150906,5
jud,-0.0378351709805429,4
In,-0.03903992575677959,11
want,-0.04029064439237118,6
blem,-0.04113571718335152,3
sober,-0.04539207648485899,5
insepar,-0.05874402945240339,3
There,-0.06922384025529027,28
